[Nhập - 10/18/2021 : 3:50:14 PM ,id = 1]  Sản phẩm: Táo -- Giá mua: 20.000 -- Thời điểm: Buổi Chiều -- Trợ cấp: 1.500.000 -- Tiết kiệm: 100.000
[Xóa - Xem danh sách 10/28/2021 : 8:05:23 PM ,id = 3] (Đã xóa)   Sản phẩm: Sách -- Giá mua: 30.000 -- Thời điểm: Buổi Chiều -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/25/2021 : 9:35:56 PM ,id = 7]  Sản phẩm: Bút Chì -- Giá mua: 25.000 -- Thời điểm: Buổi Chiều -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/25/2021 : 9:35:56 PM ,id = 8]  Sản phẩm: Tẩy -- Giá mua: 10.000 -- Thời điểm: Buổi Chiều -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/25/2021 : 9:35:56 PM ,id = 9]  Sản phẩm: Thước -- Giá mua: 8.000 -- Thời điểm: Buổi Chiều -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/25/2021 : 9:35:56 PM ,id = 10]  Sản phẩm: Compa -- Giá mua: 12.000 -- Thời điểm: Buổi Chiều -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/28/2021 : 11:00:04 PM ,id = 48]  Sản phẩm: Bút Đèn Ghi -- Giá mua: 30.000 -- Thời điểm: Buổi Tối -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/28/2021 : 11:00:04 PM ,id = 49]  Sản phẩm: Ổ Cứng Hdd -- Giá mua: 1.000.000 -- Thời điểm: Buổi Tối -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/28/2021 : 11:00:04 PM ,id = 50]  Sản phẩm: Headphone -- Giá mua: 40.000 -- Thời điểm: Buổi Tối -- Trợ cấp: 0 -- Tiết kiệm: 0
[Nhập - 10/28/2021 : 11:00:04 PM ,id = 51]  Sản phẩm: Pin -- Giá mua: 15.000 -- Thời điểm: Buổi Tối -- Trợ cấp: 0 -- Tiết kiệm: 0
[Update - Xem danh sách 11/3/2021 : 11:41:40 PM ,id = 18]  500.000 --> 1000000
[Update - Xem danh sách 11/12/2021 : 11:09:13 AM ,id = 8]  Dán Tường --> Dán Tường
